Name;Date
3M Stock Price History;22.10.2024
Abbott Labs Stock Price History;16.10.2024
AbbVie Stock Price History;30.10.2024
Take-Two Stock Price History;06.11.2024
Archer-Daniels-Midland Stock Price History;18.11.2024
Aflac Stock Price History;30.10.2024
Rockwell Automation Stock Price History;07.11.2024
Gilead Stock Price History;06.11.2024
AIG Stock Price History;04.11.2024
Alexandria RE Stock Price History;21.10.2024
Align Stock Price History;23.10.2024
Allegion PLC Stock Price History;24.10.2024
Alliant Energy Stock Price History;31.10.2024
Williams Stock Price History;06.11.2024
Allstate Stock Price History;30.10.2024
Trimble Stock Price History;06.11.2024
Alphabet A Stock Price History;29.10.2024
Alphabet C Stock Price History;29.10.2024
Jabil Circuit Stock Price History;18.12.2024
Altria Stock Price History;31.10.2024
Amazon.com Stock Price History;31.10.2024
Amcor PLC Stock Price History;31.10.2024
AMD Stock Price History;29.10.2024
Motorola Stock Price History;07.11.2024
American Express Stock Price History;18.10.2024
American Tower Stock Price History;29.10.2024
Darden Restaurants Stock Price History;19.12.2024
Intuit Stock Price History;21.11.2024
American Water Works Stock Price History;30.10.2024
Ameriprise Financial Stock Price History;24.10.2024
Ametek Stock Price History;31.10.2024
Amgen Stock Price History;30.10.2024
Molson Coors Brewing B Stock Price History;07.11.2024
Amphenol Stock Price History;23.10.2024
Palo Alto Networks Stock Price History;20.11.2024
AO Smith Stock Price History;22.10.2024
Aon Stock Price History;25.10.2024
Apollo Global Management A Stock Price History;05.11.2024
Apple Stock Price History;31.10.2024
Aptiv Stock Price History;31.10.2024
Johnson Controls Stock Price History;06.11.2024
Arch Capital Stock Price History;30.10.2024
Arthur J Gallagher Stock Price History;24.10.2024
Assurant Stock Price History;05.11.2024
AT&T Stock Price History;23.10.2024
AvalonBay Stock Price History;04.11.2024
Avery Dennison Stock Price History;23.10.2024
Nike Stock Price History;19.12.2024
Baker Hughes Stock Price History;22.10.2024
Ball Stock Price History;31.10.2024
Bank of America Stock Price History;15.10.2024
Bank of NY Mellon Stock Price History;11.10.2024
Berkshire Hathaway B Stock Price History;02.11.2024
Biogen Stock Price History;01.11.2024
Bio-Techne Stock Price History;30.10.2024
Blackstone Stock Price History;17.10.2024
Nordson Stock Price History;11.12.2024
Boeing Stock Price History;23.10.2024
Booking Stock Price History;30.10.2024
Kroger Stock Price History;05.12.2024
BorgWarner Stock Price History;31.10.2024
Charles Schwab Stock Price History;06.11.2024
Boston Scientific Stock Price History;23.10.2024
Bristol-Myers Squibb Stock Price History;31.10.2024
Broadridge Stock Price History;05.11.2024
Brown&Brown Stock Price History;28.10.2024
EOG Resources Stock Price History;07.11.2024
Builders FirstSource Stock Price History;05.11.2024
Adobe Stock Price History;11.12.2024
Bunge Stock Price History;30.10.2024
BXP Inc Stock Price History;29.10.2024
Cadence Design Stock Price History;29.10.2024
Caesars Stock Price History;29.10.2024
Camden Property Stock Price History;29.10.2024
Capital One Financial Stock Price History;24.10.2024
Cardinal Health Stock Price History;01.11.2024
Carrier Global Stock Price History;24.10.2024
Caterpillar Stock Price History;30.10.2024
CBRE A Stock Price History;24.10.2024
CDW Corp Stock Price History;30.10.2024
Celanese Stock Price History;04.11.2024
Centene Stock Price History;25.10.2024
CenterPoint Energy Stock Price History;28.10.2024
CF Industries Stock Price History;30.10.2024
CH Robinson Stock Price History;30.10.2024
Axon Enterprise Stock Price History;07.11.2024
Charles River Laboratories Stock Price History;15.10.2024
Airbnb Stock Price History;07.11.2024
Charter Communications Stock Price History;01.11.2024
Lamb Weston Holdings Stock Price History;19.12.2024
AutoZone Stock Price History;10.12.2024
Chevron Stock Price History;01.11.2024
Ulta Beauty Stock Price History;05.12.2024
Chipotle Mexican Grill Stock Price History;29.10.2024
Chubb Stock Price History;29.10.2024
Church&Dwight Stock Price History;01.11.2024
Ross Stores Stock Price History;21.11.2024
Cigna Stock Price History;31.10.2024
Cincinnati Financial Stock Price History;24.10.2024
Citigroup Stock Price History;15.10.2024
Applied Materials Stock Price History;14.11.2024
Match Group Stock Price History;06.11.2024
Citizens Financial Group Inc Stock Price History;16.10.2024
Clorox Stock Price History;30.10.2024
CME Group Stock Price History;23.10.2024
CMS Energy Stock Price History;31.10.2024
Kenvue Stock Price History;07.11.2024
Coca-Cola Stock Price History;23.10.2024
Cognizant A Stock Price History;30.10.2024
Comcast Stock Price History;31.10.2024
ConocoPhillips Stock Price History;31.10.2024
HP Inc Stock Price History;26.11.2024
Constellation Brands A Stock Price History;03.10.2024
Constellation Energy Stock Price History;04.11.2024
Corning Stock Price History;29.10.2024
CoStar Stock Price History;22.10.2024
General Mills Stock Price History;18.12.2024
Ameren Stock Price History;06.11.2024
Coterra Energy Stock Price History;31.10.2024
Crown Castle Stock Price History;16.10.2024
Best Buy Stock Price History;26.11.2024
CSX Stock Price History;16.10.2024
Cummins Stock Price History;05.11.2024
Danaher Stock Price History;22.10.2024
DaVita Stock Price History;29.10.2024
Dayforce Stock Price History;30.10.2024
Deckers Outdoor Stock Price History;24.10.2024
Delta Air Lines Stock Price History;10.10.2024
Devon Energy Stock Price History;05.11.2024
NetApp Stock Price History;21.11.2024
DexCom Stock Price History;24.10.2024
Diamondback Stock Price History;04.11.2024
Digital Stock Price History;24.10.2024
Discover Stock Price History;16.10.2024
Dominion Energy Stock Price History;01.11.2024
Domino’s Pizza Inc Stock Price History;10.10.2024
Dover Stock Price History;24.10.2024
Dow Stock Price History;24.10.2024
American Electric Power Stock Price History;06.11.2024
DR Horton Stock Price History;29.10.2024
DTE Energy Stock Price History;24.10.2024
DuPont De Nemours Stock Price History;05.11.2024
Viatris Stock Price History;07.11.2024
Eastman Chemical Stock Price History;31.10.2024
Moderna Stock Price History;07.11.2024
Eaton Stock Price History;31.10.2024
EBAY Overview;30.10.2024
Albemarle Stock Price History;06.11.2024
Ecolab Stock Price History;29.10.2024
Edison Stock Price History;29.10.2024
Edwards Lifesciences Stock Price History;24.10.2024
Evergy Stock Price History;07.11.2024
Tapestry Stock Price History;07.11.2024
Electronic Arts Stock Price History;29.10.2024
Accenture Stock Price History;19.12.2024
Occidental Stock Price History;12.11.2024
Howmet Stock Price History;06.11.2024
Elevance Health Stock Price History;17.10.2024
Eli Lilly Stock Price History;30.10.2024
Emerson Stock Price History;05.11.2024
Enphase Stock Price History;22.10.2024
Entergy Stock Price History;31.10.2024
EQT Stock Price History;29.10.2024
PTC Stock Price History;06.11.2024
Equifax Stock Price History;16.10.2024
Deere&Company Stock Price History;21.11.2024
Equinix Stock Price History;30.10.2024
Equity Residential Stock Price History;30.10.2024
Erie Indemnity Stock Price History;31.10.2024
Essex Property Stock Price History;29.10.2024
Estee Lauder Stock Price History;31.10.2024
Air Products Stock Price History;07.11.2024
Everest Stock Price History;30.10.2024
Eversource Energy Stock Price History;04.11.2024
Exelon Stock Price History;30.10.2024
Expeditors Washington Stock Price History;05.11.2024
ANSYS Stock Price History;06.11.2024
Extra Space Storage Stock Price History;29.10.2024
Oracle Stock Price History;09.12.2024
Monster Beverage Stock Price History;07.11.2024
Exxon Mobil Stock Price History;01.11.2024
F5 Networks Stock Price History;28.10.2024
Campbell Soup Stock Price History;03.12.2024
Fastenal Stock Price History;11.10.2024
Federal Realty Stock Price History;30.10.2024
Corpay Stock Price History;07.11.2024
Fidelity National Info Stock Price History;04.11.2024
Fifth Third Stock Price History;18.10.2024
TJX Stock Price History;20.11.2024
First Solar Stock Price History;29.10.2024
Cencora Inc Stock Price History;06.11.2024
FirstEnergy Stock Price History;29.10.2024
Fiserv Stock Price History;22.10.2024
FMC Stock Price History;29.10.2024
Ford Motor Stock Price History;28.10.2024
Fortive Stock Price History;30.10.2024
Fox Corp A Stock Price History;04.11.2024
Fox Corp B Stock Price History;04.11.2024
Franklin Resources Stock Price History;04.11.2024
Freeport-McMoran Stock Price History;22.10.2024
Garmin Stock Price History;30.10.2024
Gartner Stock Price History;05.11.2024
GE Aerospace Stock Price History;22.10.2024
Paramount Global B Stock Price History;08.11.2024
GE HealthCare Stock Price History;30.10.2024
GE Vernova LLC Stock Price History;23.10.2024
News Corp Stock Price History;07.11.2024
Gen Digital Stock Price History;30.10.2024
Synopsys Stock Price History;04.12.2024
Generac Stock Price History;31.10.2024
General Dynamics Stock Price History;23.10.2024
General Motors Stock Price History;22.10.2024
MarketAxesss Stock Price History;06.11.2024
Genuine Parts Stock Price History;22.10.2024
Global Payments Stock Price History;30.10.2024
Globe Life Stock Price History;23.10.2024
Godaddy Inc Stock Price History;30.10.2024
Goldman Sachs Stock Price History;15.10.2024
Hartford Stock Price History;24.10.2024
Hasbro Stock Price History;24.10.2024
HCA Stock Price History;25.10.2024
Healthpeak Properties Stock Price History;24.10.2024
Henry Schein Stock Price History;05.11.2024
Hess Stock Price History;30.10.2024
Jacobs Engineering Stock Price History;19.11.2024
Hilton Worldwide Stock Price History;23.10.2024
Pinnacle West Stock Price History;06.11.2024
Hologic Stock Price History;04.11.2024
Honeywell Stock Price History;24.10.2024
Cisco Stock Price History;13.11.2024
Hubbell Stock Price History;29.10.2024
Humana Stock Price History;30.10.2024
Huntington Bancshares Stock Price History;31.10.2024
Huntington Ingalls Industries Stock Price History;17.10.2024
IBM Stock Price History;23.10.2024
Mettler-Toledo Stock Price History;07.11.2024
ICE Stock Price History;31.10.2024
IDEX Stock Price History;29.10.2024
IDEXX Labs Stock Price History;31.10.2024
IFF Stock Price History;05.11.2024
Illinois Tool Works Stock Price History;30.10.2024
Incyte Stock Price History;29.10.2024
Ingersoll Rand Stock Price History;31.10.2024
Lululemon Athletica Stock Price History;05.12.2024
Intel Stock Price History;31.10.2024
Lennar Stock Price History;18.12.2024
International Paper Stock Price History;31.10.2024
Intuitive Surgical Stock Price History;17.10.2024
Invesco Stock Price History;22.10.2024
Duke Energy Stock Price History;07.11.2024
Invitation Homes Stock Price History;30.10.2024
IPG Stock Price History;22.10.2024
Copart Stock Price History;21.11.2024
IQVIA Holdings Stock Price History;31.10.2024
Iron Mountain Stock Price History;06.11.2024
Dell Tech Stock Price History;26.11.2024
J&J Stock Price History;15.10.2024
Jack Henry&Associates Stock Price History;05.11.2024
JB Hunt Stock Price History;15.10.2024
JPMorgan Stock Price History;11.10.2024
Juniper Stock Price History;31.10.2024
Kellanova Stock Price History;31.10.2024
Keurig Dr Pepper Stock Price History;24.10.2024
Paychex Stock Price History;19.12.2024
KeyCorp Stock Price History;17.10.2024
Kimberly-Clark Stock Price History;22.10.2024
Cintas Stock Price History;19.12.2024
Kimco Realty Stock Price History;31.10.2024
Kinder Morgan Stock Price History;16.10.2024
Ralph Lauren A Stock Price History;07.11.2024
KKR & Co Stock Price History;24.10.2024
Vistra Energy Stock Price History;07.11.2024
KLA Corp Stock Price History;30.10.2024
Kraft Heinz Stock Price History;30.10.2024
CVS Health Corp Stock Price History;06.11.2024
Consolidated Edison Stock Price History;07.11.2024
Atmos Energy Stock Price History;06.11.2024
L3Harris Technologies Stock Price History;24.10.2024
Labcorp Holdings Stock Price History;24.10.2024
Lam Research Stock Price History;23.10.2024
Las Vegas Sands Stock Price History;23.10.2024
Leidos Stock Price History;29.10.2024
Lennox Stock Price History;23.10.2024
Home Depot Stock Price History;12.11.2024
Dollar General Stock Price History;05.12.2024
Corteva Stock Price History;06.11.2024
Workday Stock Price History;26.11.2024
Linde PLC Stock Price History;31.10.2024
LKQ Stock Price History;24.10.2024
Lockheed Martin Stock Price History;22.10.2024
Loews Stock Price History;04.11.2024
FedEx Stock Price History; 19.12.2024
Arista Networks Stock Price History;07.11.2024
LyondellBasell Industries Stock Price History;01.11.2024
M&T Bank Stock Price History;17.10.2024
Marathon Petroleum Stock Price History;05.11.2024
Marriott Int Stock Price History;04.11.2024
Marsh McLennan Stock Price History;17.10.2024
Becton Dickinson Stock Price History;07.11.2024
Martin Marietta Materials Stock Price History;30.10.2024
NVIDIA Stock Price History;20.11.2024
Halliburton Stock Price History;07.11.2024
Masco Stock Price History;29.10.2024
Mastercard Stock Price History;31.10.2024
McCormick&Co Stock Price History;01.10.2024
McDonald’s Stock Price History;29.10.2024
Merck&Co Stock Price History;31.10.2024
Meta Platforms Stock Price History;30.10.2024
MetLife Stock Price History;30.10.2024
MGM Stock Price History;30.10.2024
Broadcom Stock Price History;12.12.2024
Hormel Foods Stock Price History;04.12.2024
Microchip Stock Price History;05.11.2024
Microsoft Stock Price History;30.10.2024
Mid-America Apartment Stock Price History;30.10.2024
Mohawk Industries Stock Price History;24.10.2024
Molina Healthcare Stock Price History;23.10.2024
Mondelez Stock Price History;29.10.2024
Monolithic Stock Price History;30.10.2024
Moody’s Stock Price History;22.10.2024
Morgan Stanley Stock Price History;16.10.2024
Mosaic Stock Price History;12.11.2024
MSCI Stock Price History;29.10.2024
Nasdaq Inc Stock Price History;24.10.2024
Netflix Stock Price History;17.10.2024
Newmont Goldcorp Stock Price History;23.10.2024
NextEra Energy Stock Price History;23.10.2024
Live Nation Entertainment Stock Price History;11.11.2024
NiSource Stock Price History;30.10.2024
Norfolk Southern Stock Price History;22.10.2024
Northern Trust Stock Price History;23.10.2024
Northrop Grumman Stock Price History;24.10.2024
Norwegian Cruise Line Stock Price History;31.10.2024
Nucor Stock Price History;21.10.2024
NVR Stock Price History;22.10.2024
NXP Stock Price History;04.11.2024
O’Reilly Automotive Stock Price History;23.10.2024
Old Dominion Freight Line Stock Price History;23.10.2024
Carnival Corp Stock Price History;20.12.2024
Omnicom Stock Price History;15.10.2024
Warner Bros Discovery Stock Price History;07.11.2024
Medtronic Stock Price History;19.11.2024
ON Semiconductor Stock Price History;28.10.2024
ONEOK Stock Price History;29.10.2024
EPAM Systems Stock Price History;07.11.2024
Otis Worldwide Stock Price History;30.10.2024
PACCAR Stock Price History;22.10.2024
Packaging America Stock Price History;22.10.2024
Palantir Stock Price History;04.11.2024
Parker-Hannifin Stock Price History;31.10.2024
Fair Isaac Stock Price History;06.11.2024
Texas Pacific Stock Price History;06.11.2024
Paycom Soft Stock Price History;30.10.2024
PayPal Stock Price History;29.10.2024
Pentair Stock Price History;22.10.2024
PepsiCo Stock Price History;08.10.2024
Pfizer Stock Price History;29.10.2024
Philip Morris Stock Price History;22.10.2024
Phillips 66 Stock Price History;29.10.2024
PNC Financial Stock Price History;15.10.2024
Pool Stock Price History;24.10.2024
PPG Industries Stock Price History;16.10.2024
PPL Stock Price History;01.11.2024
Principal Financial Stock Price History;24.10.2024
Progressive Stock Price History;15.10.2024
Analog Devices Stock Price History;26.11.2024
Dollar Tree Stock Price History;04.12.2024
Prologis Stock Price History;16.10.2024
Prudential Financial Stock Price History;30.10.2024
Public Service Enterprise Stock Price History;04.11.2024
Public Storage Stock Price History;30.10.2024
PulteGroup Stock Price History;22.10.2024
Micron Stock Price History;18.12.2024
Quanta Services Stock Price History;31.10.2024
Quest Diagnostics Stock Price History;22.10.2024
Raymond James Financial Stock Price History;23.10.2024
Realty Income Stock Price History;04.11.2024
Regency Centers Stock Price History;28.10.2024
Regeneron Pharma Stock Price History;31.10.2024
Regions Financial Stock Price History;18.10.2024
McKesson Stock Price History;06.11.2024
CrowdStrike Holdings Stock Price History;26.11.2024
Republic Services Stock Price History;29.10.2024
ResMed Stock Price History;24.10.2024
Revvity Stock Price History;04.11.2024
Agilent Technologies Stock Price History;25.11.2024
Akamai Stock Price History;07.11.2024
Rollins Stock Price History;23.10.2024
Roper Technologies Stock Price History;23.10.2024
Royal Caribbean Cruises Stock Price History;29.10.2024
Rtx Corp Stock Price History;22.10.2024
Fortinet Stock Price History;07.11.2024
S&P Global Stock Price History;24.10.2024
SBA Communications Stock Price History;28.10.2024
Schlumberger Stock Price History;18.10.2024
Seagate Stock Price History;22.10.2024
ServiceNow Inc Stock Price History;23.10.2024
Hershey Co Stock Price History;07.11.2024
NRG Stock Price History;08.11.2024
News Corp A Stock Price History;07.11.2024
Sherwin-Williams Stock Price History;22.10.2024
Simon Property Stock Price History;01.11.2024
Smurfit Westrock Stock Price History;30.10.2024
Snap-On Stock Price History;17.10.2024
Southern Stock Price History;31.10.2024
Southwest Airlines Stock Price History;24.10.2024
Insulet Stock Price History;07.11.2024
FactSet Research Stock Price History; 19.12.2024
Stanley Black Decker Stock Price History;29.10.2024
STERIS Stock Price History;06.11.2024
Starbucks Stock Price History;30.10.2024
State Street Stock Price History;15.10.2024
Steel Dynamics Stock Price History;16.10.2024
Stryker Stock Price History;29.10.2024
Super Micro Computer Stock Price History;05.11.2024
Solventum Stock Price History;07.11.2024
Synchrony Financial Stock Price History;16.10.2024
Sysco Stock Price History;29.10.2024
T Rowe Stock Price History;01.11.2024
Targa Resources Stock Price History;05.11.2024
TE Connectivity Stock Price History;30.10.2024
Cooper Stock Price History;05.12.2024
Teledyne Technologies Stock Price History;23.10.2024
Teleflex Stock Price History;31.10.2024
Keysight Technologies Stock Price History;19.11.2024
Sempra Energy Stock Price History;06.11.2024
Tyson Foods Stock Price History;12.11.2024
Teradyne Stock Price History;23.10.2024
Tesla Stock Price History;23.10.2024
Texas Instruments Stock Price History;22.10.2024
Textron Stock Price History;24.10.2024
Qualcomm Stock Price History;06.11.2024
The AES Stock Price History;31.10.2024
Thermo Fisher Scientific Stock Price History;23.10.2024
CarMax Stock Price History;19.12.2024
T-Mobile US Stock Price History;23.10.2024
Autodesk Stock Price History;26.11.2024
Costco Stock Price History;12.12.2024
Tractor Supply Stock Price History;24.10.2024
Trane Technologies Stock Price History;30.10.2024
Travelers Stock Price History;17.10.2024
Truist Financial Corp Stock Price History;17.10.2024
Tyler Technologies Stock Price History;23.10.2024
Host Hotels Resorts Stock Price History;06.11.2024
U.S. Bancorp Stock Price History;16.10.2024
Uber Tech Stock Price History;31.10.2024
UDR Stock Price History;30.10.2024
Expedia Stock Price History;07.11.2024
Union Pacific Stock Price History;24.10.2024
United Airlines Holdings Stock Price History;15.10.2024
United Parcel Service Stock Price History;24.10.2024
APA Corp Stock Price History;06.11.2024
Walt Disney Stock Price History;14.11.2024
United Rentals Stock Price History;23.10.2024
Transdigm Stock Price History;07.11.2024
Skyworks Stock Price History;12.11.2024
Conagra Brands Stock Price History;19.12.2024
UnitedHealth Stock Price History;15.10.2024
PG E Stock Price History;07.11.2024
Universal Health Services Stock Price History;24.10.2024
Valero Energy Stock Price History;24.10.2024
Ventas Stock Price History;30.10.2024
Salesforce Inc Stock Price History;03.12.2024
Veralto Stock Price History;23.10.2024
VeriSign Stock Price History;24.10.2024
Walmart Stock Price History;19.11.2024
Verisk Stock Price History;30.10.2024
Verizon Stock Price History;22.10.2024
Vertex Stock Price History;04.11.2024
VICI Properties Stock Price History;31.10.2024
Visa A Stock Price History;29.10.2024
Vulcan Materials Stock Price History;30.10.2024
Walgreens Boots Stock Price History;15.10.2024
Waste Management Stock Price History;28.10.2024
Waters Stock Price History;01.11.2024
WEC Energy Stock Price History;31.10.2024
Wells Fargo&Co Stock Price History;11.10.2024
Baxter Stock Price History;08.11.2024
Welltower Stock Price History;28.10.2024
West Pharmaceutical Services Stock Price History;24.10.2024
Western Digital Stock Price History;24.10.2024
Westinghouse Air Brake Stock Price History;23.10.2024
Weyerhaeuser Stock Price History;24.10.2024
Willis Towers Watson Stock Price History;31.10.2024
WR Berkley Stock Price History;21.10.2024
JM Smucker Stock Price History;26.11.2024
WW Grainger Stock Price History;31.10.2024
Wynn Resorts Stock Price History;04.11.2024
Xcel Energy Stock Price History;31.10.2024
Xylem Stock Price History;31.10.2024
Target Stock Price History;20.11.2024
Yum! Brands Stock Price History;05.11.2024
Zebra Stock Price History;29.10.2024
Zimmer Biomet Stock Price History;30.10.2024
Zoetis Inc Stock Price History;04.11.2024
